Droplet,Br,I,Cs,Bi,Total
1,6.22,54.79,28.32,10.67,100
2,3.33,61.18,21.87,13.63,100
3,2.85,60.61,21.47,15.07,100
4,4.63,60.73,21.84,12.8,100
5,4,61.57,21.65,12.79,100
6,2.42,61.16,21.46,14.96,100
7,3.1,61.16,21.85,13.88,100
8,3.32,59.99,21.93,14.76,100
9,5.49,59.63,21.81,13.08,100
10,6.37,60.49,21.87,11.27,100
11,4.67,60.2,22.12,13.01,100
12,4.72,59.78,21.75,13.75,100
13,6.15,58.99,22.22,12.63,100
14,6.18,58.81,22.05,12.97,100
15,5.82,59.24,22.13,12.8,100
16,6.81,58.94,21.93,12.32,100
17,8.26,57.8,21.97,11.96,100
18,9.95,56.14,21.56,12.35,100
19,6.37,58.13,21.82,13.68,100
20,6.76,58,21.53,13.7,100
21,7.69,57.09,22.13,13.09,100
22,8.68,53.31,21.42,16.59,100
23,5.46,55.89,21.59,17.05,100
24,14.84,48.9,24.4,11.86,100
25,9,55.08,21.52,14.4,100
26,10.97,54.24,21.25,13.55,100
27,11.7,54.04,21.22,13.04,100
28,10,54.63,21.47,13.9,100
29,11.13,52.64,21.98,14.26,100
30,16.88,49.31,21.32,12.5,100
31,10.15,53.14,21.72,14.99,100
32,19.93,44.35,21.75,13.96,100
33,20.46,45.59,21.51,12.44,100
34,24.2,42.13,21.32,12.35,100
35,18.88,45.19,23.61,12.32,100
36,22.79,42.08,21.47,13.66,100
37,21.2,43.09,21.63,14.07,100
38,20.42,42.95,21.65,14.99,100
39,23.01,42.19,21.58,13.22,100
40,23.84,40.73,21.68,13.75,100
41,23.69,40.47,21.81,14.03,100
42,25.56,39.94,21.3,13.2,100
43,25.76,38.93,21.98,13.33,100
44,24.57,40.96,21.67,12.8,100
45,28.48,37.89,21.25,12.37,100
46,31.46,35.28,21.1,12.15,100
47,30.22,36.04,21.28,12.45,100
48,26.84,37.95,21.75,13.46,100
49,26.31,37.57,22.08,14.05,100
50,27.4,37.33,21.54,13.73,100
51,30.66,34.29,21.65,13.41,100
52,30.44,34.21,22.6,12.75,100
53,34.8,32.12,20.73,12.34,100
54,33.14,32.5,21.92,12.44,100
55,31.58,33.62,21.34,13.46,100
56,28.91,34.62,22.23,14.25,100
57,32.19,32.37,22.13,13.31,100
58,34.06,31.66,21.72,12.56,100
59,34.48,29.89,23.07,12.57,100
60,33.6,31.02,22.51,12.87,100
61,33.51,31.09,21.9,13.5,100
62,37.07,28.19,22.12,12.62,100
63,29.3,31.96,23.52,15.22,100
64,36.91,27.93,21.87,13.29,100
65,40.97,25.7,21.07,12.26,100
66,39.23,26.32,21.45,13,100
67,37.35,27.34,21.55,13.75,100
68,43.69,21.78,22.43,12.1,100
69,42.73,23.12,21.5,12.65,100
70,36.92,27.61,22.2,13.27,100
71,40.09,27.75,21.21,10.95,100
72,41.46,23.69,22.07,12.78,100
73,40.09,24.99,21.78,13.14,100
74,40.92,24.84,21.71,12.53,100
75,41.09,23.94,21.74,13.23,100
76,42.34,21.5,21.94,14.22,100
77,44.56,20.46,21.41,13.57,100
78,44.15,21.2,21.06,13.59,100
79,38,22.87,23.04,16.09,100
80,43.64,19,23.69,13.67,100
81,44.1,17.75,22.98,15.16,100
82,46.57,18.75,21.76,12.92,100
83,44.4,19.84,22.27,13.48,100
